;0;;;;;;;;;;;;;
Guyana;GUY;GUY;GUY;GUY;;;;GLP;Guadeloupe ;GLP;Guadeloupe;GLP;Guadeloupe;GLP
Haiti;HAI;#N/A;HTI;HTI;;;;GMB;Gambia ;GMB;Gambia;GMB;Gambia;GMB
Haiti rebels*;XHB;#N/A;#N/A;;;;;GNB;Guinea-Bissau ;GNB;Guinea-Bissau;GNB;Guinea-Bissau;GNB
Hamas (Palestine)*;XPA;#N/A;#N/A;;;;;GNQ;Equatorial Guinea ;GNQ;Equatorial Guinea;GNQ;Equatorial Guinea;GNQ
Hezbollah (Lebanon)*;XLH;#N/A;#N/A;;;;;GRC;Greece ;GRC;Greece;GRC;Greece;GRC
Honduras;HON;#N/A;HND;HND;;;;GRD;Grenada ;GRD;Grenada;GRD;Grenada;GRD
Hungary;HUN;HUN;HUN;HUN;;;;GRL;Greenland ;GRL;Greenland;GRL;Greenland;GRL
Iceland;ICE;#N/A;ISL;ISL;;;;GTM;Guatemala ;GTM;Guatemala;GTM;Guatemala;GTM
India;IND;IND;IND;IND;;;;GUF;French Guiana ;GUF;French Guiana;GUF;French Guiana;GUF
Indonesia;INS;#N/A;IDN;IDN;;;;GUM;Guam ;GUM;Guam;GUM;Guam;GUM
Indonesia rebels*;XIR;#N/A;#N/A;;;;;GUY;Guyana ;GUY;Guyana;GUY;Guyana;GUY
Iran;IRA;#N/A;#N/A;;;;;HKG;Hong Kong ;HKG;Hong Kong;HKG;Hong Kong;HKG
Iraq;IRQ;IRQ;IRQ;IRQ;;;;HMD;Heard Island and McDonald Islands ;HMD;Heard Island and McDonald Islands;HMD;Heard Island and McDonald Islands;HMD
Ireland;IRE;#N/A;IRL;IRL;;;;HND;Honduras ;HND;Honduras;HND;Honduras;HND
Israel;ISR;ISR;ISR;ISR;;;;HRV;Croatia ;HRV;Croatia;HRV;Croatia;HRV
Italy;ITA;ITA;ITA;ITA;;;;HTI;Haiti ;HTI;Haiti;HTI;Haiti;HTI
Jamaica;JAM;JAM;JAM;JAM;;;;HUN;Hungary ;HUN;Hungary;HUN;Hungary;HUN
Japan;JAP;#N/A;JPN;JPN;;;;IDN;Indonesia ;IDN;Indonesia;IDN;Indonesia;IDN
Jordan;JOR;JOR;JOR;JOR;;;;IMN;Isle of Man ;IMN;Isle of Man;IMN;Isle of Man;IMN
Katanga;KAT;#N/A;#N/A;;;;;IND;India ;IND;India;IND;India;IND
Kazakhstan;KAZ;KAZ;KAZ;KAZ;;;;IOT;British Indian Ocean Territory ;IOT;British Indian Ocean Territory;IOT;British Indian Ocean Territory;IOT
Kenya;KEN;KEN;KEN;KEN;;;;IRL;Ireland ;IRL;Ireland;IRL;Ireland;IRL
Khmer Rouge (Cambodia)*;XCR;#N/A;#N/A;;;;;IRN;Iran, Islamic Republic of ;IRN;Iran, Islamic Republic of;IRN;Iran, Islamic Republic of;IRN
Kiribati;KIR;KIR;KIR;KIR;;;;IRQ;Iraq ;IRQ;Iraq;IRQ;Iraq;IRQ
Kosovo;KSV;#N/A;#N/A;;;;;ISL;Iceland ;ISL;Iceland;ISL;Iceland;ISL
Kuwait;KUW;#N/A;KWT;KWT;;;;ISR;Israel ;ISR;Israel;ISR;Israel;ISR
Kyrgyzstan;KYR;#N/A;KGZ;KGZ;;;;ITA;Italy ;ITA;Italy;ITA;Italy;ITA
LF (Lebanon)*;XLL;#N/A;#N/A;;;;;JAM;Jamaica ;JAM;Jamaica;JAM;Jamaica;JAM
LRA (Uganda)*;XUL;#N/A;#N/A;;;;;JEY;Jersey ;JEY;Jersey;JEY;Jersey;JEY
LTTE (Sri Lanka)*;XSL;#N/A;#N/A;;;;;JOR;Jordan ;JOR;Jordan;JOR;Jordan;JOR
